service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TL2024-TLSWkSH-Weekday-011,1,1,1,1,1,0,0,20250414,20251231
TL2024-TLSWkSH-Weekday-011-1111000,1,1,1,1,0,0,0,20250414,20251231
TL2024-TLSWkSH-Weekday-011-0000100,0,0,0,0,1,0,0,20250414,20251231
TL2024-TLNWkSH-Weekday-003,1,1,1,1,1,0,0,20250414,20251231
TL2024-TL24NWk-Weekday-003,1,1,1,1,1,0,0,20250401,20251218
TL2024-TL24NSun-Sunday-003,0,0,0,0,0,0,1,20250406,20251228
TL2024-TL24NSat-Saturday-003,0,0,0,0,0,1,0,20250405,20251227
MTS2024-MTS25SSH-Weekday-012,1,1,1,1,1,0,0,20250414,20251230
MTS2024-MTS25SSH-Weekday-012-1111000,1,1,1,1,0,0,0,20250414,20251230
MTS2024-MTS25SSH-Weekday-012-0000100,0,0,0,0,1,0,0,20250414,20251230
MTS2024-MTSWWkSH-Weekday-003,1,1,1,1,1,0,0,20250414,20251231
MTS2024-MTS24WWk-Weekday-003,1,1,1,1,1,0,0,20250401,20251218
MTS2024-MTS24WSu-Sunday-003,0,0,0,0,0,0,1,20250406,20251228
MTS2024-MTS24WSa-Saturday-003,0,0,0,0,0,1,0,20250405,20251227
MTS2024-MTSNWkSH-Weekday-003,1,1,1,1,1,0,0,20250414,20251231
MTS2024-MTS24NWk-Weekday-004,1,1,1,1,1,0,0,20250401,20251218
MTS2024-MTS24NSu-Sunday-003,0,0,0,0,0,0,1,20250406,20251228
MTS2024-MTS24NSa-Saturday-003,0,0,0,0,0,1,0,20250405,20251227
MAN2024-MANNWkSH-Weekday-003,1,1,1,1,1,0,0,20250414,20251231
MAN2024-MAN24NWk-Weekday-003,1,1,1,1,1,0,0,20250401,20251218
MAN2024-MAN24NSu-Sunday-003,0,0,0,0,0,0,1,20250406,20251228
MAN2024-MAN24NSa-Saturday-003,0,0,0,0,0,1,0,20250405,20251227
KIN2024-KINSWkSH-Weekday-003,1,1,1,1,1,0,0,20250414,20251231
KIN2024-KIN24SWk-Weekday-003,1,1,1,1,1,0,0,20250401,20251218
KIN2024-KIN24SSu-Sunday-003,0,0,0,0,0,0,1,20250406,20251228
KIN2024-KIN24SSa-Saturday-003,0,0,0,0,0,1,0,20250405,20251227
KIN2024-KIN25WSH-Weekday-012,1,1,1,1,1,0,0,20250414,20251231
KIN2024-KIN25WWk-Weekday-012,1,1,1,1,1,0,0,20250401,20251218
KIN2024-KIN25WSu-Sunday-012,0,0,0,0,0,0,1,20250406,20251228
KIN2024-KIN25WSa-Saturday-012,0,0,0,0,0,1,0,20250405,20251227
KIN2024-KINNWkSH-Weekday-011,1,1,1,1,1,0,0,20250414,20251231
KIN2024-KIN24NWk-Weekday-011,1,1,1,1,1,0,0,20250401,20251218
KIN2024-KIN24NSu-Sunday-011,0,0,0,0,0,0,1,20250406,20251228
KIN2024-KIN24NSa-Saturday-011,0,0,0,0,0,1,0,20250405,20251227
CAL2024-CALWkSH-Weekday-011,1,1,1,1,1,0,0,20250414,20251231
CAL2024-CAL24Wk-Weekday-011,1,1,1,1,1,0,0,20250401,20251218
CAL2024-CAL24Sun-Sunday-011,0,0,0,0,0,0,1,20250406,20251228
CAL2024-CAL24Sat-Saturday-011,0,0,0,0,0,1,0,20250405,20251227
TL2024-TL25SWk-Weekday-005,1,1,1,1,1,0,0,20250401,20251218
TL2024-TL25SSun-Sunday-005,0,0,0,0,0,0,1,20250406,20251228
TL2024-TL25SSat-Saturday-005,0,0,0,0,0,1,0,20250405,20251227
MTS2024-MTS25SWk-Weekday-014,1,1,1,1,1,0,0,20250401,20251218
MTS2024-MTS25SWk-Weekday-014-1111000,1,1,1,1,0,0,0,20250401,20251218
MTS2024-MTS25SWk-Weekday-014-1101100,1,1,0,1,1,0,0,20250401,20251218
MTS2024-MTS25SWk-Weekday-014-0000100,0,0,0,0,1,0,0,20250401,20251218
MTS2024-MTS25SWk-Weekday-014-0010000,0,0,1,0,0,0,0,20250401,20251218
MTS2024-MTS25SSu-Sunday-006,0,0,0,0,0,0,1,20250406,20251228
MTS2024-MTS25SSa-Saturday-006,0,0,0,0,0,1,0,20250405,20251227
DFS2024-DFS24Wk-Weekday-010,1,1,1,1,1,0,0,20250401,20251218
DFS2024-DFSWkSH-Weekday-010,1,1,1,1,1,0,0,20250414,20251231
DFS2024-DFS24Sa-Saturday-010,0,0,0,0,0,1,0,20250405,20251227
