route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
110-52,MTS,110,University to Kings Meadows via City & Hospital,,3,,008000,FFFFFF
115-52,MTS,115, Rocherlea via Mowbray and George Town Rd,,3,,008000,FFFFFF
116-52,MTS,116,Mayfield via Mowbray and George Town Rd,,3,,008000,FFFFFF
117-52,MTS,117, Alanvale via Mowbray and George Town Rd,,3,,008000,FFFFFF
120-52,MTS,120,Ravenswood (Warring St) to City,,3,,008000,FFFFFF
121-52,MTS,121,Waverley to City via Ravenswood (Lambert St),,3,,008000,FFFFFF
130-52,MTS,130,"St Leonards via Newstead, Waverley & Hoblers Bridg",,3,,008000,FFFFFF
131-52,MTS,131,St Leonards via Newstead & Penquite Rd,,3,,008000,FFFFFF
140-52,MTS,140,Youngtown via Norwood & Newstead,,3,,008000,FFFFFF
141-52,MTS,141,Punchbowl via High St & Talbot Rd,,3,,008000,FFFFFF
142-52,MTS,142,Punchbowl via Abbott St,,3,,008000,FFFFFF
145-52,MTS,145,"Youngtown (Poplar Pde) via Hobart Rd, Kings Meadow",,3,,008000,FFFFFF
146-52,MTS,146,"Clarendon St & Waroona St via Kings Meadows, Six W",,3,,008000,FFFFFF
147-52,MTS,147,"Chifley St & Ainslie Grove via Kings Meadows, Six",,3,,008000,FFFFFF
150-52,MTS,150,West Riverside (Penrith St) via Trevallyn,,3,,008000,FFFFFF
151-52,MTS,151,North Riverside (Cormiston Rd) via Riverside Shops,,3,,008000,FFFFFF
152-52,MTS,152,"West Riverside (Penrith St) via Delungra Rd, Reatt",,3,,008000,FFFFFF
160-52,MTS,160,Casino via Hospital and Westbury Rs,,3,,008000,FFFFFF
161-52,MTS,161,"Blackstone Heights via Hospital, Westbury Rd",,3,,008000,FFFFFF
162-52,MTS,162,Hadspen (Rutherglen) via Hospital & Westbury Rd,,3,,008000,FFFFFF
165-52,MTS,165,Prospect Vale (Marketplace) via LGH,,3,,008000,FFFFFF
167-52,MTS,167,Prospect Vale (Marketplace) via Hillside Crescent,,3,,008000,FFFFFF
170-48,KIN,170,West Devonport via Best St (Clockwise Loop),,3,,0080FF,000000
171-48,KIN,171,West Devonport via James St (Anti Clockwise),,3,,0080FF,000000
172-48,KIN,172,Don College to Devonport,,3,,0080FF,000000
173-48,KIN,173,South Devonport via Splash,,3,,0080FF,000000
174-48,KIN,174,South Devonport via Homemaker Centre,,3,,0080FF,000000
