stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
7000001,,"Hobart Transit Centre, No.230 Liverpool St",, -42.884991, 147.323198,,,0,,2
7000002,,"Hobart Interchange, Elizabeth St, Stop D3",, -42.882868, 147.330441,,,0,place_inthob,2
7000003,,"Stop 2, Tasman Hwy  (Govt. House)",, -42.867599, 147.335538,,,0,,2
7000004,,"Stop 1, Macquarie St past Campbell St",, -42.880606, 147.332802,,,0,,2
7000005,,"Collins St City Terminus",, -42.882051, 147.329071,,,0,place_inthob,2
7000006,,"Stop 1, Liverpool St outside Menzies Centre",, -42.878953, 147.330060,,,0,,2
7000008,,"St Mary's College, Harrington St",, -42.881147, 147.319955,,,0,,2
7000009,,"Elizabeth College Warwick Street",, -42.878261, 147.318699,,,0,,2
7000010,,"Stop 5, No.207 Macquarie St",, -42.888287, 147.322950,,,0,,2
7000011,,"Stop 6, No.94 Davey Street (Anglesea Barracks)",, -42.888044, 147.325238,,,0,,2
7000012,,"Davey St at Salamanca Pl A",, -42.885112, 147.328958,,,0,,2
7000014,,"Stop 7, No.142-146 Davey St (St Anns)",, -42.890383, 147.322202,,,0,,2
7000015,,"Hobart Interchange, Macquarie St, Stop D1",, -42.883363, 147.329563,,,0,place_inthob,2
7000016,,"Macquarie St outside St Davids Cathedral",, -42.883630, 147.328936,,,0,place_inthob,2
7000017,,"Stop 4, No.181 Macquarie St",, -42.886629, 147.325051,,,0,,2
7000019,,"Stop 8, No.411 Elizabeth St",, -42.870700, 147.312496,,,0,,2
7000020,,"Stop 3, No.181 Elizabeth St",, -42.879253, 147.322698,,,0,,2
7000021,,"Stop 4, No.229 Elizabeth St",, -42.878196, 147.320441,,,0,,2
7000022,,"Stop 7, Elizabeth St / Strahan St",, -42.872425, 147.314767,,,0,,2
7000023,,"Stop 6, No.309 Elizabeth St",, -42.874339, 147.316832,,,0,,2
7000024,,"Stop 2, No.131 Elizabeth St",, -42.880283, 147.325078,,,0,,2
7000025,,"Stop 5, No.265 Elizabeth St",, -42.876268, 147.318430,,,0,,2
7000026,,"Stop 9, Elizabeth St past Wilson St",, -42.868625, 147.312028,,,0,,2
7000027,,"Stop 4, No.242 Elizabeth St",, -42.878139, 147.319997,,,0,,2
7000028,,"Stop 7, Elizabeth St / Pitt St",, -42.873337, 147.315463,,,0,,2
7000029,,"Stop 2, No.80 Elizabeth St",, -42.881094, 147.326464,,,0,,2
7000030,,"Hobart Interchange, Elizabeth St, Stop A1",, -42.882616, 147.330142,,,0,place_inthob,2
7000031,,"Stop 5, No.308 Elizabeth St",, -42.876064, 147.318144,,,0,,2
7000032,,"Stop 3, No.180 Elizabeth St",, -42.879120, 147.322162,,,0,,2
7000033,,"Stop 6, No.334 Elizabeth St",, -42.875103, 147.317390,,,0,,2
7000034,,"Stop 8, No.446 Elizabeth St",, -42.870497, 147.311888,,,0,,2
7000035,,"Stop 1, No.55 Campbell St",, -42.878669, 147.329487,,,0,,2
7000036,,"Hobart Interchange, Elizabeth St, Stop A2",, -42.882534, 147.329890,,,0,place_inthob,2
7000038,,"Stop 4, No.169 Campbell St",, -42.875623, 147.325145,,,0,,2
7000039,,"Forest Rd (Goulburn St Primary)",, -42.887817, 147.317809,,,0,,2
7000041,,"Hobart Interchange, Elizabeth St, Stop B1",, -42.882403, 147.329423,,,0,place_inthob,2
7000042,,"No.1 Mt Stuart Rd",, -42.872565, 147.310931,,,0,,2
7000043,,"Cnr Lansdowne Cr / Petty St",, -42.881347, 147.309785,,,0,,2
7000044,,"No.308 Liverpool St",, -42.886852, 147.321192,,,0,,2
7000045,,"No.32 Forest Rd",, -42.888461, 147.317211,,,0,,2
7000046,,"No.4 William St",, -42.887015, 147.312729,,,0,,2
7000047,,"No.43 Mt Stuart Rd In",, -42.873864, 147.306684,,,0,,2
7000048,,"No.47 Burnett St",, -42.873991, 147.318059,,,0,,2
7000049,,"No.11 Elphinstone Rd",, -42.872472, 147.311742,,,0,,2
7000050,,"No.119 Collins St",, -42.883630, 147.326853,,,0,,2
