route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
740-50,CAL2024-CAL24Sat-Saturday-011,136555-CAL2024-CAL24Sat-Saturday-011,"Launceston City",1,,7400010,2,2
740-50,CAL2024-CAL24Sat-Saturday-011,136556-CAL2024-CAL24Sat-Saturday-011,"St Helens",0,,7400009,2,2
745-50,CAL2024-CAL24Sat-Saturday-011,136557-CAL2024-CAL24Sat-Saturday-011,"St Marys",0,,7450010,2,2
745-50,CAL2024-CAL24Sat-Saturday-011,136558-CAL2024-CAL24Sat-Saturday-011,"Coles Bay",1,,7450008,2,2
743-50,CAL2024-CAL24Sat-Saturday-011,136559-CAL2024-CAL24Sat-Saturday-011,"Coles Bay",1,,7430006,2,2
742-50,CAL2024-CAL24Sat-Saturday-011,136560-CAL2024-CAL24Sat-Saturday-011,"St Marys",1,,7420006,2,2
742-50,CAL2024-CAL24Sat-Saturday-011,136561-CAL2024-CAL24Sat-Saturday-011,"Bicheno",0,,7420005,2,2
743-50,CAL2024-CAL24Sat-Saturday-011,136562-CAL2024-CAL24Sat-Saturday-011,"Bicheno",0,,7430007,2,2
740-50,CAL2024-CAL24Sun-Sunday-011,136549-CAL2024-CAL24Sun-Sunday-011,"Launceston City",1,,7400011,2,2
740-50,CAL2024-CAL24Sun-Sunday-011,136550-CAL2024-CAL24Sun-Sunday-011,"St Helens",0,,7400009,2,2
745-50,CAL2024-CAL24Sun-Sunday-011,136551-CAL2024-CAL24Sun-Sunday-011,"St Marys",0,,7450010,2,2
742-50,CAL2024-CAL24Sun-Sunday-011,136552-CAL2024-CAL24Sun-Sunday-011,"Bicheno",0,,7420005,2,2
743-50,CAL2024-CAL24Sun-Sunday-011,136553-CAL2024-CAL24Sun-Sunday-011,"Coles Bay",1,,7430006,2,2
740-50,CAL2024-CAL24Wk-Weekday-011,136539-CAL2024-CAL24Wk-Weekday-011,"Launceston City",1,,7400010,2,2
744-50,CAL2024-CAL24Wk-Weekday-011,136540-CAL2024-CAL24Wk-Weekday-011,"St Helens",1,,7440006,2,2
745-50,CAL2024-CAL24Wk-Weekday-011,136541-CAL2024-CAL24Wk-Weekday-011,"Coles Bay",1,,7450008,2,2
743-50,CAL2024-CAL24Wk-Weekday-011,136542-CAL2024-CAL24Wk-Weekday-011,"Coles Bay",1,,7430006,2,2
740-50,CAL2024-CAL24Wk-Weekday-011,136543-CAL2024-CAL24Wk-Weekday-011,"Launceston City",1,,7400010,2,2
740-50,CAL2024-CAL24Wk-Weekday-011,136544-CAL2024-CAL24Wk-Weekday-011,"St Helens",0,,7400009,2,2
740-50,CAL2024-CAL24Wk-Weekday-011,136545-CAL2024-CAL24Wk-Weekday-011,"St Helens",0,,7400012,2,2
